age,gender,state,prescribe_levothyroxine,prescribe_liothyronine,prescribe_thyroid_usp
19 - 49,Female,Rhode Island,93.03714331446903,5.036400928946069,1.9264557565848888
19 - 49,Female,South Carolina,89.84464191390802,2.3606148364647224,7.7947432496272615
19 - 49,Female,South Dakota,89.23512510056374,2.2601147179828764,8.50476018145338
19 - 49,Female,Tennessee,89.84464191390802,2.3606148364647224,7.7947432496272615
19 - 49,Female,Texas,89.84464191390802,2.3606148364647224,7.7947432496272615
19 - 49,Female,Utah,86.54512002891288,3.285395902949493,10.169484068137638
19 - 49,Female,Vermont,93.03714331446903,5.036400928946069,1.9264557565848888
19 - 49,Female,Virginia,89.84464191390802,2.3606148364647224,7.7947432496272615
19 - 49,Female,Washington,86.54512002891288,3.285395902949493,10.169484068137638
19 - 49,Female,West Virginia,89.84464191390802,2.3606148364647224,7.7947432496272615
19 - 49,Female,Wisconsin,89.23512510056374,2.2601147179828764,8.50476018145338
19 - 49,Female,Wyoming,86.54512002891288,3.285395902949493,10.169484068137638
19 - 49,Male,Alabama,100.0,,
19 - 49,Male,Alaska,100.0,,
19 - 49,Male,Arizona,100.0,,
19 - 49,Male,Arkansas,100.0,,
19 - 49,Male,California,100.0,,
19 - 49,Male,Colorado,100.0,,
19 - 49,Male,Connecticut,100.0,,
19 - 49,Male,Delaware,100.0,,
19 - 49,Male,District of Columbia,100.0,,
19 - 49,Male,Florida,100.0,,
19 - 49,Male,Georgia,100.0,,
19 - 49,Male,Hawaii,100.0,,
19 - 49,Male,Idaho,100.0,,
19 - 49,Male,Illinois,98.00487929573949,,1.9951207042605175
19 - 49,Male,Indiana,98.00487929573949,,1.9951207042605175
19 - 49,Male,Iowa,98.00487929573949,,1.9951207042605175
19 - 49,Male,Kansas,98.00487929573949,,1.9951207042605175
19 - 49,Male,Kentucky,100.0,,
19 - 49,Male,Louisiana,100.0,,
19 - 49,Male,Maine,100.0,,
19 - 49,Male,Maryland,100.0,,
19 - 49,Male,Massachusetts,100.0,,
19 - 49,Male,Michigan,98.00487929573949,,1.9951207042605175
19 - 49,Male,Minnesota,98.00487929573949,,1.9951207042605175
19 - 49,Male,Mississippi,100.0,,
19 - 49,Male,Missouri,98.00487929573949,,1.9951207042605175
19 - 49,Male,Montana,100.0,,
19 - 49,Male,Nebraska,98.00487929573949,,1.9951207042605175
19 - 49,Male,Nevada,100.0,,
19 - 49,Male,New Hampshire,100.0,,
19 - 49,Male,New Jersey,100.0,,
19 - 49,Male,New Mexico,100.0,,
19 - 49,Male,New York,100.0,,
19 - 49,Male,North Carolina,100.0,,
19 - 49,Male,North Dakota,98.00487929573949,,1.9951207042605175
19 - 49,Male,Ohio,98.00487929573949,,1.9951207042605175
19 - 49,Male,Oklahoma,100.0,,
19 - 49,Male,Oregon,100.0,,
19 - 49,Male,Pennsylvania,100.0,,
19 - 49,Male,Rhode Island,100.0,,
19 - 49,Male,South Carolina,100.0,,
19 - 49,Male,South Dakota,98.00487929573949,,1.9951207042605175
19 - 49,Male,Tennessee,100.0,,
19 - 49,Male,Texas,100.0,,
19 - 49,Male,Utah,100.0,,
19 - 49,Male,Vermont,100.0,,
19 - 49,Male,Virginia,100.0,,
19 - 49,Male,Washington,100.0,,
19 - 49,Male,West Virginia,100.0,,
19 - 49,Male,Wisconsin,98.00487929573949,,1.9951207042605175
19 - 49,Male,Wyoming,100.0,,
4 - 7,Female,Alabama,100.0,,
4 - 7,Female,Arkansas,100.0,,
4 - 7,Female,Delaware,100.0,,
4 - 7,Female,District of Columbia,100.0,,
4 - 7,Female,Florida,100.0,,
4 - 7,Female,Georgia,100.0,,
4 - 7,Female,Illinois,100.0,,
4 - 7,Female,Indiana,100.0,,
4 - 7,Female,Iowa,100.0,,
4 - 7,Female,Kansas,100.0,,
4 - 7,Female,Kentucky,100.0,,
4 - 7,Female,Louisiana,100.0,,
4 - 7,Female,Maryland,100.0,,
4 - 7,Female,Michigan,100.0,,
4 - 7,Female,Minnesota,100.0,,
4 - 7,Female,Mississippi,100.0,,
4 - 7,Female,Missouri,100.0,,
4 - 7,Female,Nebraska,100.0,,
4 - 7,Female,North Carolina,100.0,,
4 - 7,Female,North Dakota,100.0,,
4 - 7,Female,Ohio,100.0,,
4 - 7,Female,Oklahoma,100.0,,
4 - 7,Female,South Carolina,100.0,,
4 - 7,Female,South Dakota,100.0,,
4 - 7,Female,Tennessee,100.0,,
4 - 7,Female,Texas,100.0,,
4 - 7,Female,Virginia,100.0,,
4 - 7,Female,West Virginia,100.0,,
4 - 7,Female,Wisconsin,100.0,,
4 - 7,Male,Illinois,100.0,,
4 - 7,Male,Indiana,100.0,,
4 - 7,Male,Iowa,100.0,,
4 - 7,Male,Kansas,100.0,,
4 - 7,Male,Michigan,100.0,,
4 - 7,Male,Minnesota,100.0,,
4 - 7,Male,Missouri,100.0,,
4 - 7,Male,Nebraska,100.0,,
4 - 7,Male,North Dakota,100.0,,
4 - 7,Male,Ohio,100.0,,
4 - 7,Male,South Dakota,100.0,,
4 - 7,Male,Wisconsin,100.0,,
50 - 64,Female,Alabama,88.51595574521022,2.8588092476554765,8.625235007134302
50 - 64,Female,Alaska,81.8960244804731,3.5291823722463915,14.574793147280515
