age,gender,state,prescribe_levothyroxine0_013Oral_Capsule,prescribe_levothyroxine0_025Oral_Tablet,prescribe_levothyroxine0_05Oral_Capsule,prescribe_levothyroxine0_05Oral_Tablet,prescribe_levothyroxine0_075Oral_Tablet,prescribe_levothyroxine0_088Oral_Capsule,prescribe_levothyroxine0_088Oral_Tablet,prescribe_levothyroxine0_112Oral_Tablet,prescribe_levothyroxine0_125Oral_Tablet,prescribe_levothyroxine0_137Oral_Tablet,prescribe_levothyroxine0_15Oral_Tablet,prescribe_levothyroxine0_175Oral_Tablet,prescribe_levothyroxine0_1Oral_Capsule,prescribe_levothyroxine0_1Oral_Tablet,prescribe_levothyroxine0_2Oral_Tablet,prescribe_levothyroxine0_3Oral_Tablet,prescribe_liothyronine0_005Oral_Tablet,prescribe_liothyronine0_025Oral_Tablet,prescribe_thyroid_USP_120Oral_Tablet,prescribe_thyroid_USP_15Oral_Tablet,prescribe_thyroid_USP_180Oral_Tablet,prescribe_thyroid_USP_30Oral_Tablet,prescribe_thyroid_USP_60Oral_Tablet,prescribe_thyroid_USP_90Oral_Tablet
19 - 49,Female,Indiana,,9.594064363286053,,13.040801941807636,9.712948215266168,,4.4671626973117,5.846075176273816,7.043647538896297,6.271784513008306,10.409330690694118,6.224408462062385,,15.447723220488923,1.1771782814683298,,2.2601147179828764,,3.5766412664304683,0.0,2.565812738068463,,2.362306176954447,
19 - 49,Female,Iowa,,9.594064363286053,,13.040801941807636,9.712948215266168,,4.4671626973117,5.846075176273816,7.043647538896297,6.271784513008306,10.409330690694118,6.224408462062385,,15.447723220488923,1.1771782814683298,,2.2601147179828764,,3.5766412664304683,0.0,2.565812738068463,,2.362306176954447,
19 - 49,Female,Kansas,,9.594064363286053,,13.040801941807636,9.712948215266168,,4.4671626973117,5.846075176273816,7.043647538896297,6.271784513008306,10.409330690694118,6.224408462062385,,15.447723220488923,1.1771782814683298,,2.2601147179828764,,3.5766412664304683,0.0,2.565812738068463,,2.362306176954447,
19 - 49,Female,Kentucky,,6.259967501279895,,15.912806586471682,19.988097781093185,,5.7664455518882285,7.765216108179428,5.249970705691429,3.923857644402219,5.4975823002356625,4.161229468987114,,12.72021405287152,1.999691887089158,0.5995623257185048,2.3606148364647224,,1.6843649181604006,,,1.229702617184734,1.776061669967649,3.1046140443144785
19 - 49,Female,Louisiana,,6.259967501279895,,15.912806586471682,19.988097781093185,,5.7664455518882285,7.765216108179428,5.249970705691429,3.923857644402219,5.4975823002356625,4.161229468987114,,12.72021405287152,1.999691887089158,0.5995623257185048,2.3606148364647224,,1.6843649181604006,,,1.229702617184734,1.776061669967649,3.1046140443144785
19 - 49,Female,Maine,,2.036954176293277,,19.27465297075229,16.402202778881044,,3.5192855715125044,1.8656775978013604,11.581504718124373,0.7624132797739002,3.155446927736242,7.732600674773184,,21.693638639004178,5.012765979816681,,5.036400928946069,,,,,,1.9264557565848888,
19 - 49,Female,Maryland,,6.259967501279895,,15.912806586471682,19.988097781093185,,5.7664455518882285,7.765216108179428,5.249970705691429,3.923857644402219,5.4975823002356625,4.161229468987114,,12.72021405287152,1.999691887089158,0.5995623257185048,2.3606148364647224,,1.6843649181604006,,,1.229702617184734,1.776061669967649,3.1046140443144785
19 - 49,Female,Massachusetts,,2.036954176293277,,19.27465297075229,16.402202778881044,,3.5192855715125044,1.8656775978013604,11.581504718124373,0.7624132797739002,3.155446927736242,7.732600674773184,,21.693638639004178,5.012765979816681,,5.036400928946069,,,,,,1.9264557565848888,
19 - 49,Female,Michigan,,9.594064363286053,,13.040801941807636,9.712948215266168,,4.4671626973117,5.846075176273816,7.043647538896297,6.271784513008306,10.409330690694118,6.224408462062385,,15.447723220488923,1.1771782814683298,,2.2601147179828764,,3.5766412664304683,0.0,2.565812738068463,,2.362306176954447,
19 - 49,Female,Minnesota,,9.594064363286053,,13.040801941807636,9.712948215266168,,4.4671626973117,5.846075176273816,7.043647538896297,6.271784513008306,10.409330690694118,6.224408462062385,,15.447723220488923,1.1771782814683298,,2.2601147179828764,,3.5766412664304683,0.0,2.565812738068463,,2.362306176954447,
